,text,author,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
0,"If you have a problem with it, you may open a live chat or submit a request https://www.okex.com/account/support
thank you 😇",210944655,,,,,,,,,,,,,,,
1,Q:What can we expect to see from this project in the short-term (at some point in 2021) and 2022 and beyond (long-term goals)?,210944655,,,,,,,,,,,,,,,
2,What are the plans to educate and raise awareness and adoption among the community to make more people understand about the project easily?,210944655,,,,,,,,,,,,,,,
3,What is the vision and mission of LON ? What problems are you trying to solve? Do these problems remain unsolved with the existing public blockchains?,210944655,,,,,,,,,,,,,,,
4,"For the success of a project, investors, community and developers play a major role. What is LON strategy to get them involved?",210944655,,,,,,,,,,,,,,,
5,"Hi @lucashuang  Could you please inform and explain to us, what benefits will we get as investors if we buy and store #LON tokens? Does #LON tokens have a big potential to be used as our favorite token?",210944655,,,,,,,,,,,,,,,
6,What kind of use-cases does the LON token have? What kind of value does it play and bring to LON ecosystem?,210944655,,,,,,,,,,,,,,,
7,"I guess there's still time to have some profits from shorting it, but idk, you have to be really brave to put something there right now",210944655,,,,,,,,,,,,,,,
8,"$LTC is showing a Resistance level at $157.40 and a Support level at $110.92

The candles are having a hard time breaking above the Resistance level and is inside the Itchimoku cloud and also hovering above the 50% Fib Retracement level.

There's a bearish divergence on the RSI and Stoch indicators.

Fib Retracement Levels:
23% Fib Retracement = $128.74
38% Fib Retracement = $139.39
50% Fib Retracement = $148.49",210944655,,,,,,,,,,,,,,,
9,"🔥Group Campaigns🔥

Discover 2️⃣0️⃣2️⃣1️⃣ with #OKEx
✅ TRADE or DEPOSIT to enter Lucky Draw 
💰Cash Reward + Rebate Card + Redeemable Community Points
⏰ 00:00 Dec 28 - 23:59 Jan 4 (UTC)
➡️ Try My Luck Now  

☄️ Unified Account Elite Competition
💰 260,000 USDT prize pool
⏰ Dec 14 - Jan 6
🔗 https://www.okex.com/team-trade/contest/2328

💥Deposit & Trade 1INCH to Share 30,000 USDT!
⏰00:00 Dec.25, 2020 - 00:00, Jan 4, 2021
➡️ Click to join 

🧧Deposit & Trade LON to share 40,000 USDT 
⏰ 23 Dec 2020 (00:30 UTC) – 1 Jan 2021 (06:00 UTC)
➡️ Wait no further, join now! 

*All time stated are in UTC",210944655,,,,,,,,,,,,,,,
10,"I am a crypto investor and I am only interested in the prospect of a cryptocurrency I have chosen, tell me why should I choose your project over the current one? What is your coin advantage that can convince me to change from my favorite token?",210944655,,,,,,,,,,,,,,,
11,"Trust and security is very important in any business , what makes investors , customer and users safe secure when working with Tokenlon?",210944655,,,,,,,,,,,,,,,
12,"Conversely, if the price dips below the trendline of the triangle, the pair could extend the decline to $540 and then to $480.",210944655,,,,,,,,,,,,,,,
13,"📕OKEx Official English Group admin list
👩🏼‍💻 Zoe@OKEx (@Zoe1115OKEx)   
👨🏼‍💻 Adam@OKEx(@AdamOKEx) 
👩🏼‍💻 Eve@OKEx(@EveOKEx) 
👨🏼‍💻 Noah@OKEx (@NoahOKEx) 
👩🏼‍💻 CoCo@OKEx (@CocoOKEx) 
👨🏼‍💻 Moses@OKEx (@MosesOkex)
👨🏼‍💻 Steve@OKEx (@SteveOKEx)
👨🏼‍💻 Loki@OKEx (@LokiOKEx）
👩🏼‍💻 Silvie@OKEx (@SilvieOkex)
👩🏼‍💻 Belle@OKEx(@BelleOKEx)
👨🏼‍💻 James@OKEx(@JamesOKEx)
👩🏼‍💻Hera@OKEx(@HeraOKEx)
👨🏼‍💻Heres@OKEx (@HeresOKEx)",210944655,,,,,,,,,,,,,,,
14,"How Do you planning to promote your project in different countries, wherein English is not spoken well? Do you have a local communities for them to better understand your project?",210944655,,,,,,,,,,,,,,,
15,"There are 5 total sessions in Season 5, and each session has a quiz of 5 questions (full score 2.5, each question is worth 0.5 community point)",210944655,,,,,,,,,,,,,,,
